Гагара белоклювая 	Gavia adamsii 	White-billed Diver
Перепелятник малый 	Accipiter gularis 	Little Sparrowhawk
Ястреб-перепелятник 	Accipiter nisus 	Sparrow Hawk
Гриф черный 	Aegypius monachus 	Cinereous Vulture
Беркут 	Aquila chrysaetos 	Golden Eagle
Подорлик большой 	Aquila clanga 	Greater Spotted Eagle
Могильник 	Aquila heliaca 	Imperial Eagle
Подорлик малый 	Aquila pomarina 	Lesser Spotted Eagle
Орел степной 	Aquila rapax, Aquila nipalensis 	Tawny Eagle
Сарыч ястребиный 	Butastur indicus 	Grey-faced Buzzard
Канюк обыкновенный 	Buteo buteo 	Common Buzzard
Курганник мохноногий 	Buteo hemilasius 	Upland Buzzard
Зимняк 	Buteo lagopus 	Rough-legged Buzzard
Курганник 	Buteo rufinus 	Long-legged Buzzard
Змееяд 	Circaetus gallicus 	Short-toed Eagle
Лунь болотный 	Circus aeruginosus 	Western Marsh Harrier
Лунь полевой 	Circus cyaneus 	Hen Harrier
Лунь степной 	Circus macrourus 	Pallid Harrier
Лунь пегий 	Circus melanoleucos 	Pied Harrier
Лунь луговой 	Circus pygargus 	Montagu's Harrier
Лунь восточный болотный 	Circus spilonotus, Circus aeruginosus spilonotus 	Eastern Marsh Harrier
Бородач 	Gypaetus barbatus 	Lammergeier
Сип белоголовый 	Gyps fulvus 	Griffon Vulture
Орлан-белохвост 	Haliaeetus albicilla 	White-tailed Eagle
Орлан белоплечий 	Haliaeetus pelagicus 	Steller's Sea Eagle
Орел ястребиный 	Hieraaetus fasciatus 	Bonelli's Eagle
Орел-карлик 	Hieraaetus pennatus, Aquila pennata 	Booted Eagle
Коршун черный 	Milvus migrans 	Black Kite
Коршун красный 	Milvus milvus 	Red Kite
Стервятник 	Neophron percnopterus 	Egyptian Vulture
Осоед обыкновенный 	Pernis apivorus 	Honey Buzzard
Осоед хохлатый 	Pernis ptilorhyncus 	Crested-honey Buzzard
Кобчик амурский 	Falco amurensis 	Amur Red-footed Falcon
Балобан 	Falco cherrug 	Saker Falcon
Дербник 	Falco columbarius 	Merlin
Пустельга степная 	Falco naumanni 	Lesser Kestrel
Сапсан 	Falco peregrinus 	Peregrine
Кречет 	Falco rusticolus 	Gyrfalcon
Чеглок 	Falco subbuteo 	Northern Hobby
Пустельга 	Falco tinnunculus 	Common Kestrel
Кобчик 	Falco vespertinus 	Red-footed Falcon
Скопа 	Pandion haliaetus 	Osprey
Кеклик 	Alectoris chukar 	Chukar
Куропатка пустынная 	Ammoperdix griseogularis 	Red-Willow Grouse
Перепел 	Coturnix coturnix  	Quail
Перепел японский 	Coturnix japonica 	Japanese Quail
Турач 	Francolinus francolinus 	Black Francolin
Павлин обыкновенный 	Pavo cristatus 	Indian Peafowl
Куропатка бородатая 	Perdix daurica 	Daurian Partridge
Куропатка серая 	Perdix perdix 	Partridge
Фазан 	Phasianus colchicus 	Pheasant
Улар кавказский 	Tetraogallus caucasicus 	Caucasian Snowcock
Улар гималайский 	Tetraogallus himalayensis 	Himalayan Snowcock
Куропатка белая 	Lagopus lagopus 	Red-Willow Grouse
Куропатка тундряная 	Lagopus mutus 	Ptarmigan
Тетерев 	Lyrurus tetrix 	Black Grouse
Глухарь 	Tetrao urogallus 	Capercaillie
Рябчик 	Tetrastes bonasia 	Hazel Grouse
Журавль-красавка 	Anthropoides virgo 	Demoiselle Crane
Журавль канадский 	Grus canadensis 	Sandhill Crane
Журавль серый 	Grus grus 	Crane
Журавль японский 	Grus japonensis 	Siberian Crane
Стерх 	Grus leucogeranus 	Japanese Crane
Журавль черный 	Grus monacha 	Hooded Crane
Журавль даурский 	Grus vipio 	White-naped Crane
Дрофа 	Otis tarda 	Great Bustard
Стрепет 	Otis tetrax, Tetrax tetrax 	Little Bustard
Дрофа-красотка 	Chlamydotis undulata, Chlamydotis macqueenii 	Houbara Bustard
Коростель 	Crex crex 	Corncrake
Лысуха 	Fulica atra 	Common Coot
Камышница 	Gallinula chloropus 	Moorhen
Султанка 	Porphyrio porphyrio, Porphyrio poliocephalus 	Purple Swamphen
Погоныш красноногий 	Porzana fusca 	Ruddy Crake
Погоныш малый 	Porzana parva 	Little Crake
Погоныш большой 	Porzana paykullii 	Band-bellied Crake
Погоныш 	Porzana porzana 	Spotted Crake
