Гагара белоклювая 	Gavia adamsii 	White-billed Diver
Ласточка нитехвостая 	Hirundo smithii 	Wire-tailed Swallow
Ласточка скалистая 	Ptyonoprogne rupestris 	Crag Martin
Ласточка бледная 	Riparia diluta 	Pale Martin
Ласточка береговая 	Riparia riparia 	Sand Martin
Свиристель сорокопутовый 	Hypocolius ampelinus 	Grey Hypocolius
Сорокопут-жулан 	Lanius collurio 	Common Shrike
Жулан сибирский 	Lanius cristatus 	Brown Shrike
Сорокопут серый 	Lanius excubitor 	Great Grey Shrike
Жулан буланый 	Lanius isabellinus 	Isabelline Shrike
Сорокопут пустынный 	Lanius meridionalis, Lanius excubitor pallidirostris 	Southern Grey Shrike
Сорокопут чернолобый 	Lanius minor 	Lesser Grey Shrike
Жулан рыжехвостый 	Lanius phoenicuroides, Lanius isabellinus phoenicuroides 	Isabelline Shrike
Сорокопут красноголовый 	Lanius senator 	Woodchat Shrike
Сорокопут клинохвостый 	Lanius sphenocercus 	Long-tailed Grey Shrike
Жулан индийский 	Lanius vittatus 	Bay-backed Shrike
Конек полевой 	Anthus campestris 	Tawny Pipit
Конек краснозобый 	Anthus cervinus 	Red-throated Pipit
Конек забайкальский 	Anthus godlewskii 	Blyth's Pipit
Конек сибирский 	Anthus gustavi 	Pechora Pipit
Конек пятнистый 	Anthus hodgsoni 	Olive-backed Pipit
Конек скальный 	Anthus petrosus, Anthus spinoletta littoralis 	Rock Pipit
Конек луговой 	Anthus pratensis 	Meadow Pipit
Конек степной 	Anthus richardi, Anthus novaeseelandiae 	Richard's Pipit
Конек американский 	Anthus rubescens 	Buff-bellied Pipit
Конек горный 	Anthus spinoletta 	Water Pipit
Конек лесной 	Anthus trivialis 	Tree Pipit
Трясогузка древесная 	Dendronanthus indicus 	Forest Wagtail
Трясогузка белая 	Motacilla alba 	White Wagtail
Трясогузка горная 	Motacilla cinerea 	Grey Wagtail
Трясогузка желтоголовая 	Motacilla citreola 	Yellow-headed Wagtail
Трясогузка малая желтоголовая 	Motacilla citreola werae 	Citrine Wagtail
Трясогузка желтая 	Motacilla flava 	Yellow Wagtail
Трясогузка желтолобая 	Motacilla lutea, Motacilla flava lutea 	Yellow-forehead Wagtail
Трясогузка маскированная 	Motacilla personata, Motacilla alba personata 	Masked Wagtail
Трясогузка зеленоголовая 	Motacilla taivana, Motacilla tschutschensis taivana, Motacilla flava taivana 	Green-crowned Yellow Wagtai
Трясогузка берингийская желтая 	Motacilla tschutschensis, Motacilla flava tschutschensis 	Beringian Yellow Wagtail
Трясогузка китайская желтая 	Motacilla tschutschensis macronyx, Motacilla flava macronyx 	Southeast Siberian Yellow Wagtail
Мухоловка синяя 	Cyanoptila cyanomelana 	Blue-and-white Flycatcher
Мухоловка восточная малая 	Ficedula albicilla, Ficedula parva albicilla 	Taiga Flycatcher
Мухоловка-белошейка 	Ficedula albicollis 	Collared Flycatcher
Мухоловка-пеструшка 	Ficedula hypoleuca, Muscicapa hypoleuca 	Pied Flycatcher
Мухоловка таежная 	Ficedula mugimaki 	Mugimaki Flycatcher
Мухоловка японская 	Ficedula narcissina 	Narcissus Flycatcher
Мухоловка малая 	Ficedula parva, Muscicapa parva 	Red-breasted Flycatcher
Мухоловка полуошейниковая 	Ficedula semitorquata  	Semi-collared Flycatcher
Мухоловка желтоспинная 	Ficedula zanthopygia 	Yellow-rumped Flycatcher
Мухоловка пестрогрудая 	Muscicapa griseisticta 	Grey-streaked Flycatcher
Мухоловка ширококлювая 	Muscicapa latirostris, Muscicapa dauurica 	Asian Brown Flycatcher
Мухоловка рыжехвостая 	Muscicapa ruficauda 	Rusty-tailed Flycatcher
Мухоловка сибирская 	Muscicapa sibirica 	Sooty Flycatcher
Мухоловка серая 	Muscicapa striata 	Spotted Flycatcher
Мухоловка райская 	Terpsiphone paradisi 	Black Paradise Flycatcher
Иволга черноголовая 	Oriolus chinensis 	Black-naped Oriole
Иволга 	Oriolus oriolus 	Golden Oriole
Синица усатая 	Panurus biarmicus 	Bearded Tit
Московка 	Parus ater 	Coal Tit
Лазоревка обыкновенная 	Parus caeruleus 	Blue tit
Гаичка сероголовая 	Parus cinctus 	Siberian Tit
Синица серая 	Parus cinereus 	Cinereous Tit
Синица хохлатая 	Parus cristatus 	Crested Tit
Лазоревка белая 	Parus cyanus 	Azure Tit
Гаичка средиземноморская 	Parus lugubris 	Sombre Tit
Синица большая 	Parus major 	Great Tit
Синица восточная 	Parus minor 	Japanese Tit
Гаичка буроголовая 	Parus montanus, Parus atricapillus 	Willow Tit
Гаичка черноголовая 	Parus palustris 	Marsh Tit
Гаичка джунгарская 	Parus songarus 	Songar Tit
Синица тисовая 	Parus varius 	Varied Tit
Воробей саксаульный 	Passer ammodendri 	Saxaul Sparrow
Воробей домовый 	Passer domesticus 	House Sparrow
Воробей черногрудый 	Passer hispaniolensis 	Spanish Sparrow
Воробей индийский 	Passer indicus 	Indian Sparrow
Воробей полевой 	Passer montanus 	Tree Sparrow
Воробей рыжий 	Passer rutilans 	Cinnamon Sparrow
Воробей пустынный 	Passer simplex 	Desert Sparrow
Воробей каменный 	Petronia petronia 	Rock Sparrow
Завирушка черногорлая 	Prunella atrogularis 	Black-throated Accentor
Завирушка альпийская 	Prunella collaris 	Alpine Accentor
Завирушка бледная 	Prunella fulvescens 	Brown Accentor
Завирушка гималайская 	Prunella himalayana 	Himalayan Accentor
Завирушка лесная 	Prunella modularis 	Dunnock
Завирушка сибирская 	Prunella montanella 	Siberian Accentor
Королек красноголовый 	Regulus ignicapillus 	Firecrest
Королек желтоголовый 	Regulus regulus 	Goldcrest
Ремез венценосный 	Remiz coronatus, Remiz pendulinus coronatus 	White-crowned Penduline-tit
Ремез обыкновенный 	Remiz pendulinus 	Penduline Tit
Поползень 	Sitta europaea 	Nuthatch
Поползень малый скальный 	Sitta neumayer 	Western Rock Nuthatch
Поползень большой скальный 	Sitta tephronota 	Persian Nuthatch
Майна обыкновенная 	Acridotheres tristis 	Common Myna
Мино златогрудый 	Mino anais 	Golden-breasted mynah
Скворец японский 	Sturnia philippensis 	Red-cheeked Starling
Скворец малый 	Sturnia sturnina, Sturnus sturnus 	Daurian Starling
Скворец серый 	Sturnus cineraceus 	Grey Starling
Скворец розовый 	Sturnus roseus, Pastor roseus 	Rose-coloured Starling
Скворец обыкновенный 	Sturnus vulgaris 	Common Starling
Камышовка толстоклювая 	Acrocephalus aeedon, Phragmaticola aedon, Iduna aedon 	Thick-billed Warbler
Камышовка индийская 	Acrocephalus agricola 	Paddyfield Warbler
Камышовка дроздовидная 	Acrocephalus arundinaceus 	Great Reed Warbler
Камышовка пестроголовая 	Acrocephalus bistrigiceps 	Black-browed Reed Warbler
Камышовка садовая 	Acrocephalus dumetorum 	Blyth's Reed Warbler
Камышовка тонкоклювая 	Acrocephalus melanopogon, Lusciniola melanopogon 	Moustached Warbler
Камышовка восточная дроздовидная 	Acrocephalus orientalis, Acrocephalus arundinaceus orientalis 	Oriental Reed-warbler
Камышовка вертлявая 	Acrocephalus paludicola 	Aquatic Warbler
Камышовка болотная 	Acrocephalus palustris 	Marsh Warbler
Камышовка-барсучок 	Acrocephalus schoenobaenus 	Sedge Warbler
Камышовка тростниковая 	Acrocephalus scirpaceus 	Reed Warbler
Камышовка туркестанская 	Acrocephalus stentoreus 	Clamorous Reed Warbler
Пестрогрудка сибирская 	Bradypterus tacsanowskius, Tribura tacsanowskia 	Chinese Bush Warbler
Камышовка широкохвостая 	Cettia cetti 	Cetti's Warbler
Бормотушка северная 	Hippolais calligata 	Booted Warbler
Пересмешка зеленая 	Hippolais icterina 	Icterine Warbler
Пересмешка пустынная 	Hippolais languida 	Upcher's Warbler
Пересмешка бледная 	Hippolais pallida 	Olivaceous Warbler
Бормотушка южная 	Hippolais rama, Iduna rama 	Sykes' Warbler
Камышовка короткокрылая 	Horeites diphone 	Japanese Bush Warbler
Сверчок певчий 	Locustella certhiola 	Pallas's Grasshopper Warbler
Сверчок таежный 	Locustella fasciolata 	Grey's Warbler
Сверчок речной 	Locustella fluviatilis 	River Warbler
Сверчок пятнистый 	Locustella lanceolata 	Lanceolated Warbler
Сверчок соловьиный 	Locustella luscinioides 	Savi's Warbler
Сверчок обыкновенный 	Locustella naevia 	Grasshopper Warbler
Сверчок охотский 	Locustella ochotensis 	Middendorff's Warbler
Пеночка-таловка 	Phylloscopus borealis 	Arctic Warbler
Пеночка-теньковка 	Phylloscopus collybita 	Chiffchaff
Пеночка бурая 	Phylloscopus fuscatus 	Dusky Warbler
Пеночка индийская 	Phylloscopus griseolus 	Dusky Warbler
Пеночка-зарничка 	Phylloscopus inornatus 	Yellow-browed Warbler
Пеночка кавказская 	Phylloscopus lorenzii 	Mountain Chiffchaff
Пеночка иранская 	Phylloscopus neglectus 	Plain Leaf-warbler
Пеночка корольковая 	Phylloscopus proregulus 	Pallas's Warbler
Пеночка толстоклювая 	Phylloscopus schwarzi 	Radde's Warbler
Пеночка-трещотка 	Phylloscopus sibilatrix, sibilator 	Wood Warbler
Пеночка бледноногая 	Phylloscopus tenellipes 	Pale-legged Willow Warbler
Пеночка зеленая 	Phylloscopus trochiloides 	Greenish Warbler
Пеночка-весничка 	Phylloscopus trochilus 	Willow Warbler
Славка вертлявая 	Scotocerca inquieta 	Streaked Scrub-warbler
Славка горная 	Sylvia althea 	Hume's Whitethroat
Славка черноголовая 	Sylvia atricapilla 	Blackcap
Славка садовая 	Sylvia borin 	Garden Warbler
Славка серая 	Sylvia communis 	Whitethroat
Славка-завирушка 	Sylvia curruca 	Lesser Whitethroat
Славка певчая 	Sylvia hortensis 	Orphean Warbler
Славка белоусая 	Sylvia mystacea 	Menetries's Warbler
Славка ястребиная 	Sylvia nisoria 	Barred Warbler
Тимелия полосатая 	Garrulax lineatus 	Streaked Laughingthrush
Крапивник 	Troglodytes troglodytes 	Eurasian Wren
Дрозд малый 	Catharus minimus 	Grey-cheeked Thrush
Соловей тугайный 	Cercotrichas galactoides 	Rufous Bush Robin
Зарянка 	Erithacus rubecula 	Robin
Соловей-белошейка 	Irania gutturalis 	White-throated Robin
Соловей-красношейка 	Luscinia calliope 	Siberian Rubythroat
Соловей синий 	Luscinia cyane 	Siberian Blue Robin
Соловей 	Luscinia luscinia 	Thrush Nightingale
Соловей южный 	Luscinia megarhynchos 	Nightingale
Красношейка черногрудая 	Luscinia pectoralis 	White-tailed Rubythroat
Соловей-свистун 	Luscinia sibilans 	Rufous-tailed Robin
Варакушка 	Luscinia svecica 	Bluethroat
Дрозд пестрый каменный 	Monticola saxatilis 	Rock Thrush
Дрозд синий каменный 	Monticola solitarius 	Blue Rock Thrush
Птица синяя 	Myophonus caeruleus 	Blue Whistling-thrush
Каменка златогузая 	Oenanthe chrysopygia, Oenanthe xanthoprymna chrysopygia 	Red-tailed Wheatear
Каменка пустынная 	Oenanthe deserti 	Desert Wheatear
Каменка черношейная 	Oenanthe finschii 	Finsch's Wheatear
Каменка испанская 	Oenanthe hispanica 	Black-eared Wheatear
Каменка-плясунья 	Oenanthe isabellina 	Isabelline Wheatear
Каменка 	Oenanthe oenanthe 	Wheatear
Каменка черная 	Oenanthe picata 	Variable Wheatear
Каменка-плешанка 	Oenanthe pleschanka 	Pied Wheatear
Горихвостка сибирская 	Phoenicurus auroreus 	Daurian Redstart
Горихвостка краснобрюхая 	Phoenicurus erythrogaster 	Guldenstadt's Redstart
Горихвостка красноспинная 	Phoenicurus erythronotus 	Rufous-backed Redstart
Горихвостка-чернушка 	Phoenicurus ochruros 	Black Redstart
Горихвостка садовая 	Phoenicurus phoenicurus 	Redstart
Чекан черный 	Saxicola caprata 	Pied Bushchat
Чекан луговой 	Saxicola rubetra 	Whinchat
Чекан черноголовый 	Saxicola torquata 	Stonechat
Синехвостка 	Tarsiger cyanurus 	Red-flanked Bluetail
Дрозд золотистый 	Turdus chrysolaus 	Red-bellied Thrush
Дрозд бурый 	Turdus eunomus 	Dusky Thrush
Дрозд сизый 	Turdus hortulorum 	Grey-backed Thrush
Дрозд-белобровик 	Turdus iliacus, musicus 	Redwing
Дрозд черный 	Turdus merula 	Blackbird
Дрозд Науманна 	Turdus naumanni 	Naumann's Thrush
Дрозд оливковый 	Turdus obscurus 	Eye-browed Thrush
Дрозд бледный 	Turdus pallidus 	Pale Thrush
Дрозд певчий 	Turdus philomelos 	Song Thrush
Дрозд-рябинник 	Turdus pilaris 	Fieldfare
Дрозд краснозобый 	Turdus ruficollis 	Red-throated Thrush
Дрозд белозобый 	Turdus torquatus 	Ring Ouzel
Деряба 	Turdus viscivorus 	Mistle Thrush
Дрозд пестрый 	Zoothera dauma, Zoothera varia 	White's Thrush
Дрозд сибирский 	Zoothera sibirica 	Siberian Thrush
Ара красный 	Ara macao 	Scarlet macaw
Пингвин Гумбольдта 	Spheniscus humboldti 	Humboldt Penguin
Страус африканский 	Struthio camelus 	Ostrich
